Date,Open,High,Low,Close,Volume,MarketCap
26-May-18,7486.48,7595.16,7349.12,7355.88,4051539968.00,125469061263.00
27-May-18,7362.08,7381.74,7270.96,7368.22,4056519936.00,125695017596.00
28-May-18,7371.31,7419.05,7100.89,7135.99,5040600064.00,121747389422.00
29-May-18,7129.46,7526.42,7090.68,7472.59,5662660096.00,127502651064.00
30-May-18,7469.73,7573.77,7313.60,7406.52,4922540032.00,126391893474.00
31-May-18,7406.15,7608.90,7361.13,7494.17,5127130112.00,127902999390.00
1-Jun-18,7500.70,7604.73,7407.34,7541.45,4921460224.00,128725854692.00
2-Jun-18,7536.72,7695.83,7497.26,7643.45,4939299840.00,130481526036.00
3-Jun-18,7632.09,7754.89,7613.04,7720.25,4851760128.00,131808021256.00
4-Jun-18,7722.53,7753.82,7474.04,7514.47,4993169920.00,128312205314.00
5-Jun-18,7500.90,7643.23,7397.00,7633.76,4961739776.00,130365918088.00
6-Jun-18,7625.97,7680.43,7502.01,7653.98,4692259840.00,130725095161.00
7-Jun-18,7650.82,7741.27,7650.82,7678.24,4485799936.00,131153169176.00
8-Jun-18,7685.14,7698.19,7558.40,7624.92,4227579904.00,130256218613.00
9-Jun-18,7632.52,7683.58,7531.98,7531.98,3845220096.00,128682085689.00
10-Jun-18,7499.55,7499.55,6709.07,6786.02,5804839936.00,115948312827.00
11-Jun-18,6799.29,6910.18,6706.63,6906.92,4745269760.00,118025877189.00
12-Jun-18,6905.82,6907.96,6542.08,6582.36,4654380032.00,112491874164.00
13-Jun-18,6596.88,6631.66,6285.63,6349.90,5052349952.00,108530585830.00
14-Jun-18,6342.75,6707.14,6334.46,6675.35,5138710016.00,114106009748.00
15-Jun-18,6674.08,6681.08,6433.87,6456.58,3955389952.00,110378702283.00
16-Jun-18,6455.45,6592.49,6402.29,6550.16,3194170112.00,111992015616.00
17-Jun-18,6545.53,6589.11,6499.27,6499.27,3104019968.00,111134754810.00
18-Jun-18,6510.07,6781.14,6446.68,6734.82,4039200000.00,115176197712.00
19-Jun-18,6742.39,6822.50,6709.92,6769.94,4057029888.00,115789919278.00
20-Jun-18,6770.76,6821.56,6611.88,6776.55,3888640000.00,115916357344.00
21-Jun-18,6780.09,6810.94,6715.17,6729.74,3529129984.00,115129700024.00
22-Jun-18,6737.88,6747.08,6006.60,6083.69,5079810048.00,104088814967.00
23-Jun-18,6090.10,6224.82,6071.81,6162.48,3431360000.00,105449276520.00
24-Jun-18,6164.28,6223.78,5826.41,6173.23,4566909952.00,105646571668.00
25-Jun-18,6171.97,6327.37,6119.68,6249.18,5500810240.00,106958465208.00
26-Jun-18,6253.55,6290.16,6093.67,6093.67,3279759872.00,104307939200.00
27-Jun-18,6084.40,6180.00,6052.85,6157.13,3296219904.00,105403600614.00
28-Jun-18,6153.16,6170.41,5873.05,5903.44,3467800064.00,101072353482.00
29-Jun-18,5898.13,6261.66,5835.75,6218.30,3966230016.00,106474707240.00
30-Jun-18,6214.22,6465.51,6214.22,6404.00,4543860224.00,109665618200.00
1-Jul-18,6411.68,6432.85,6289.29,6385.82,4788259840.00,109366024632.00
2-Jul-18,6380.38,6683.86,6305.70,6614.18,4396930048.00,113288832522.00
3-Jul-18,6596.66,6671.37,6447.75,6529.59,4672309760.00,111849428104.00
4-Jul-18,6550.87,6771.92,6450.46,6597.55,4176689920.00,113024522547.00
5-Jul-18,6599.71,6749.54,6546.65,6639.14,4999240192.00,113748385620.00
6-Jul-18,6638.69,6700.94,6533.55,6673.50,4313959936.00,114350502582.00
7-Jul-18,6668.71,6863.99,6579.24,6856.93,3961080064.00,117506606000.00
8-Jul-18,6857.80,6885.91,6747.98,6773.88,3386210048.00,116097021279.00
9-Jul-18,6775.08,6838.68,6724.34,6741.75,3718129920.00,115557889495.00
10-Jul-18,6739.21,6767.74,6320.72,6329.95,4052430080.00,108511009626.00
11-Jul-18,6330.77,6444.96,6330.47,6394.71,3644859904.00,109631867446.00
12-Jul-18,6396.78,6397.10,6136.42,6228.81,3770170112.00,106798864820.00
13-Jul-18,6235.03,6310.55,6192.24,6238.05,3805400064.00,106968440793.00
14-Jul-18,6247.50,6298.19,6212.22,6276.12,2923670016.00,107631453835.00
15-Jul-18,6272.70,6403.46,6256.51,6359.64,3285459968.00,109074579938.00
16-Jul-18,6357.01,6741.75,6357.01,6741.75,4725799936.00,115638203962.00
17-Jul-18,6739.65,7387.24,6684.17,7321.04,5961950208.00,125588963706.00
18-Jul-18,7315.32,7534.99,7280.47,7370.78,6103410176.00,126458165406.00
19-Jul-18,7378.20,7494.46,7295.46,7466.86,5111629824.00,128122730711.00
20-Jul-18,7467.40,7594.67,7323.26,7354.13,4936869888.00,126202570251.00
21-Jul-18,7352.72,7437.64,7262.41,7419.29,3726609920.00,127333468174.00
22-Jul-18,7417.80,7537.95,7383.82,7418.49,3695460096.00,127336615249.00
23-Jul-18,7414.71,7771.50,7409.10,7711.11,5132480000.00,132375368459.00
24-Jul-18,7716.51,8424.27,7705.50,8424.27,7277689856.00,144634918474.00
25-Jul-18,8379.66,8416.87,8086.36,8181.39,5845400064.00,140482950401.00
26-Jul-18,8176.85,8290.33,7878.71,7951.58,4899089920.00,136553079708.00
27-Jul-18,7950.40,8262.66,7839.76,8165.01,5195879936.00,140235573607.00
28-Jul-18,8169.06,8222.85,8110.77,8192.15,3988750080.00,140716560550.00
29-Jul-18,8205.82,8272.26,8141.18,8218.46,4107190016.00,141185844808.00
30-Jul-18,8221.58,8235.50,7917.50,8180.48,5551400000.00,140547190784.00
31-Jul-18,8181.20,8181.53,7696.93,7780.44,5287530000.00,133688476220.00
